UNITID,ACAD_YEAR,FILE_NAME,TABLE_TRIM,Current year GRS cohort as a percent of entering class,Exclusions from full-time fall 2022 cohort,Exclusions from part-time fall 2022 cohort,Full-time adjusted fall 2022 cohort,Full-time fall 2022 cohort,Full-time first-time degree/certificate-seeking undergraduate (current year GRS cohort),"Full-time retention rate, 2023",Inclusions to the full-time fall 2022 cohort,Inclusions to the part-time fall 2022 cohort,Part-time adjusted fall 2022 cohort,Part-time fall 2022 cohort,"Part-time retention rate, 2023",Student-to-faculty ratio,Students from the full-time adjusted fall 2022 cohort enrolled in fall 2023,Students from the part-time adjusted fall 2022 cohort enrolled in fall 2023,"Total entering students at the undergraduate level, fall 2023"
100654,2007,ef2006d_RV.csv,EFD,85,,,,,1133,70,,,,,46,,,,1334
100654,2008,ef2007d_rv.csv,EFD,100,0,0,1133,1133,882,69,,,5,5,0,,777,0,885
100654,2009,ef2008d_rv.csv,EFD,89,0,0,882,882,1044,68,,,3,3,33,,598,1,1179
100654,2010,ef2009d_rv.csv,EFD,80,0,0,1044,1044,1044,69,,,2,2,50,14,718,1,1301
100654,2011,ef2010d_rv.csv,EFD,83,0,0,1046,1046,1113,75,,,8,8,50,20,780,4,1345
100654,2012,ef2011d_rv.csv,EFD,81,0,0,1110,1110,841,64,,,10,10,10,19,715,1,1042
100654,2013,ef2012d_rv.csv,EFD,85,0,0,841,841,1001,68,,,12,12,58,17,569,7,1171
100654,2014,ef2013d_rv.csv,EFD,86,0,0,1001,1001,1088,63,,,8,8,50,15,632,4,1269
100654,2015,ef2014d_rv.csv,EFD,86,0,0,1066,1066,1194,66,,,15,15,33,20,703,5,1392
100654,2016,ef2015d_rv.csv,EFD,74,0,0,1194,1194,1222,58,,,13,13,31,19,690,4,1653
100654,2017,ef2016d_rv.csv,EFD,76,0,0,1222,1222,1410,58,0,0,165,165,31,18,705,51,1857
100654,2018,ef2017d_rv.csv,EFD,80,0,0,1410,1410,1288,59,0,0,38,38,13,18,829,5,1604
100654,2019,ef2018d_rv.csv,EFD,84,0,0,1288,1288,1402,61,0,0,6,6,100,20,784,6,1676
100654,2020,ef2019d_rv.csv,EFD,93,0,0,1401,1401,1688,57,0,0,3,3,67,20,797,2,1809
100654,2021,ef2020d_rv.csv,EFD,89,2,0,1686,1688,1525,54,0,0,6,6,33,18,911,2,1712
100654,2022,ef2021d_rv.csv,EFD,84,0,0,1525,1525,1417,58,0,0,10,10,40,18,884,4,1692
100654,2023,ef2022d_rv.csv,EFD,87,0,0,1417,1417,1547,59,0,0,60,60,25,19,840,15,1771
100654,2024,ef2023d.csv,EFD,84,0,0,1547,1547,1976,64,0,0,10,10,40,19,988,4,2354
100663,2007,ef2006d_RV.csv,EFD,58,,,,,1487,75,,,,,30,,,,2576
