UNITID,ACAD_YEAR,FILE_NAME,TABLE_TRIM,4-year Graduation rate - bachelor's degree within 100% of normal time,6-year Graduation rate - bachelor's degree within 150% of normal time,8-year Graduation rate - bachelor's degree within 200% of normal time,Additional exclusions from bachelor's degree-seeking cohort,Additional exclusions from degree/certificate-seeking cohort,Adjusted bachelor's degree-seeking cohort within 150% of normal time,Adjusted bachelor's degree-seeking cohort within 200% of normal time,Adjusted degree/certificate-seeking cohort within 150% of normal time,Adjusted degree/certificate-seeking cohort within 200% of normal time,Exclusions from bachelor's degree-seeking cohort within 150% percent of normal time,Exclusions from degree/certificate-seeking cohort within 150% percent of normal time,Graduation rate - degree/certificate within 100% of normal time,Graduation rate - degree/certificate within 150% of normal time,Graduation rate - degree/certificate within 200% of normal time,Number completed a  degree/certificate between 150% and 200% of normal time,Number completed a bachelor's degree between 150% and 200% of normal time,Number completed a bachelor's degree within 100% of normal time (4-years),Number completed a bachelor's degree within 150% of normal time (6-years),Number completed a bachelor's degree within 200% of normal time (8-years),Number completed a degree/certificate  within 150% of normal time,Number completed a degree/certificate within 100% of normal time,Number completed a degree/certificate within 200% of normal time,"Revised bachelor's degree-seeking cohort, (cohort year 2015)","Revised degree/certificate-seeking cohort, (cohort year 2019)",Still enrolled(BASTEND_81338),Still enrolled(L4STEND_81398)
100654,2008,gr200_08_rv.csv,GR200,12,34,75,0,,1020,1020,,,0,,,,,,419,118,342,761,,,,1020,,,
100654,2009,gr200_09_rv.csv,GR200,13,33,47,0,,1038,1038,,,0,,,,,,141,138,345,486,,,,1038,,,
100654,2010,gr200_10_rv.csv,GR200,11,33,46,0,,1043,1043,,,0,,,,,,136,118,339,475,,,,1043,,,
100654,2011,gr200_11_rv.csv,GR200,9,29,36,0,,1287,1287,,,0,,,,,,87,112,370,457,,,,1287,,0,
100654,2012,gr200_12_rv.csv,GR200,12,33,35,0,,1198,1198,,,0,,,,,,25,146,396,421,,,,1198,,0,
100654,2013,gr200_13_rv.csv,GR200,11,32,35,0,,1088,1088,,,0,,,,,,38,116,345,383,,,,1088,,0,
100654,2014,gr200_14_rv.csv,GR200,10,32,34,0,,1133,1133,,,0,,,,,,19,110,365,384,,,,1133,,22,
100654,2015,gr200_15_rv.csv,GR200,10,29,33,0,,882,882,,,0,,,,,,31,88,257,288,,,,882,,58,
100654,2016,gr200_16_rv.csv,GR200,11,35,38,0,,1044,1044,,,0,,,,,,24,115,368,392,,,,1044,,0,
100654,2017,gr200_17_rv.csv,GR200,11,31,35,0,,1042,1042,,,0,,,,,,44,115,321,365,,,,1042,,37,
100654,2018,gr200_18_rv.csv,GR200,8,32,35,0,,780,780,,,0,,,,,,24,61,249,273,,,,780,,15,
100654,2019,gr200_19_rv.csv,GR200,4,24,28,0,,839,839,,,0,,,,,,34,32,201,235,,,,839,,8,
100654,2020,gr200_20_rv.csv,GR200,6,27,30,2,,756,754,,,1,,,,,,26,42,203,229,,,,757,,12,
100654,2021,gr200_21_rv.csv,GR200,8,30,33,0,,928,928,,,4,,,,,,29,74,276,305,,,,932,,22,
100654,2022,gr200_22_rv.csv,GR200,11,29,32,0,,998,998,,,3,,,,,,33,105,286,319,,,,1001,,21,
100654,2023,gr200_23.csv,GR200,11,28,30,0,,1222,1222,,,0,,,,,,19,137,343,362,,,,1222,,9,
100663,2008,gr200_08_rv.csv,GR200,14,36,40,2,,1232,1230,,,1,,,,,,56,173,440,496,,,,1233,,,
100663,2009,gr200_09_rv.csv,GR200,14,38,42,1,,1224,1223,,,0,,,,,,53,175,461,514,,,,1224,,,
100663,2010,gr200_10_rv.csv,GR200,16,40,43,0,,1398,1398,,,1,,,,,,46,228,557,603,,,,1399,,,
100663,2011,gr200_11_rv.csv,GR200,17,39,44,1,,1607,1606,,,5,,,,,,70,266,633,703,,,,1612,,48,
100663,2012,gr200_12_rv.csv,GR200,19,41,46,0,,1534,1534,,,6,,,,,,77,284,626,703,,,,1540,,20,
100663,2013,gr200_13_rv.csv,GR200,23,45,49,2,,1514,1512,,,7,,,,,,63,350,675,738,,,,1521,,39,
100663,2014,gr200_14_rv.csv,GR200,25,48,52,0,,1484,1484,,,1,,,,,,64,378,714,778,,,,1485,,19,
100663,2015,gr200_15_rv.csv,GR200,29,53,57,0,,1376,1376,,,9,,,,,,43,404,736,779,,,,1385,,17,
100663,2016,gr200_16_rv.csv,GR200,33,55,59,1,,1246,1245,,,1,,,,,,48,406,691,739,,,,1247,,21,
100663,2017,gr200_17_rv.csv,GR200,32,55,58,1,,1494,1493,,,3,,,,,,46,474,815,861,,,,1497,,29,
100663,2018,gr200_18_rv.csv,GR200,30,53,56,0,,1534,1534,,,5,,,,,,49,463,813,862,,,,1539,,22,
100663,2019,gr200_19_rv.csv,GR200,32,53,57,0,,1576,1576,,,2,,,,,,66,501,832,898,,,,1578,,32,
100663,2020,gr200_20_rv.csv,GR200,35,58,62,0,,1652,1652,,,2,,,,,,57,572,962,1019,,,,1654,,27,
100663,2021,gr200_21_rv.csv,GR200,40,63,66,0,,1725,1725,,,5,,,,,,42,694,1092,1134,,,,1730,,24,
100663,2022,gr200_22_rv.csv,GR200,38,61,64,1,,1714,1713,,,4,,,,,,40,654,1048,1088,,,,1718,,15,
100663,2023,gr200_23.csv,GR200,42,62,65,0,,1587,1587,,,3,,,,,,39,668,991,1030,,,,1590,,20,
100706,2008,gr200_08_rv.csv,GR200,15,44,47,0,,583,583,,,0,,,,,,18,86,258,276,,,,583,,,
100706,2009,gr200_09_rv.csv,GR200,14,44,49,0,,592,592,,,0,,,,,,31,83,261,292,,,,592,,,
100706,2010,gr200_10_rv.csv,GR200,17,48,51,0,,610,610,,,0,,,,,,21,102,290,311,,,,610,,,
100706,2011,gr200_11_rv.csv,GR200,17,48,52,0,,774,774,,,0,,,,,,35,132,368,403,,,,774,,30,
100706,2012,gr200_12_rv.csv,GR200,13,44,48,0,,653,653,,,0,,,,,,31,84,285,316,,,,653,,23,
100706,2013,gr200_13_rv.csv,GR200,14,45,50,0,,626,626,,,0,,,,,,32,87,284,316,,,,626,,16,
100706,2014,gr200_14_rv.csv,GR200,16,47,52,0,,801,801,,,0,,,,,,35,128,379,414,,,,801,,30,
100706,2015,gr200_15_rv.csv,GR200,16,48,53,0,,759,759,,,0,,,,,,32,125,367,399,,,,759,,15,
100706,2016,gr200_16_rv.csv,GR200,15,46,51,0,,765,765,,,0,,,,,,37,116,353,390,,,,765,,15,
100706,2017,gr200_17_rv.csv,GR200,18,49,53,0,,774,774,,,0,,,,,,28,143,382,410,,,,774,,17,
100706,2018,gr200_18_rv.csv,GR200,15,49,51,0,,600,600,,,0,,,,,,16,92,292,308,,,,600,,12,
100706,2019,gr200_19_rv.csv,GR200,23,49,52,0,,652,652,,,0,,,,,,23,148,317,340,,,,652,,7,
100706,2020,gr200_20_rv.csv,GR200,22,52,56,0,,615,615,,,0,,,,,,23,135,319,342,,,,615,,14,
100706,2021,gr200_21_rv.csv,GR200,27,58,61,0,,638,638,,,0,,,,,,20,172,368,388,,,,638,,3,
100706,2022,gr200_22_rv.csv,GR200,31,57,61,0,,714,714,,,0,,,,,,30,222,408,438,,,,714,,12,
100706,2023,gr200_23.csv,GR200,35,61,63,0,,1026,1026,,,0,,,,,,23,362,623,646,,,,1026,,19,
100724,2008,gr200_08_rv.csv,GR200,15,29,32,0,,1014,1014,,,0,,,,,,30,148,292,322,,,,1014,,,
100724,2009,gr200_09_rv.csv,GR200,12,27,34,0,,1263,1263,,,0,,,,,,83,147,345,428,,,,1263,,,
100724,2010,gr200_10_rv.csv,GR200,0,21,24,0,,1401,1401,,,0,,,,,,35,0,297,332,,,,1401,,,
100724,2011,gr200_11_rv.csv,GR200,7,22,26,0,,1187,1187,,,0,,,,,,48,85,258,306,,,,1187,,22,
100724,2012,gr200_12_rv.csv,GR200,7,24,29,0,,1138,1138,,,1,,,,,,52,75,273,325,,,,1139,,14,
100724,2013,gr200_13_rv.csv,GR200,9,26,30,0,,1198,1198,,,0,,,,,,47,106,314,361,,,,1198,,11,
100724,2014,gr200_14_rv.csv,GR200,8,26,29,0,,1298,1298,,,0,,,,,,35,109,342,377,,,,1298,,24,
100724,2015,gr200_15_rv.csv,GR200,9,25,29,0,,1351,1351,,,0,,,,,,47,119,340,387,,,,1351,,19,
100724,2016,gr200_16_rv.csv,GR200,8,26,29,0,,1330,1330,,,0,,,,,,40,100,341,381,,,,1330,,22,
100724,2017,gr200_17_rv.csv,GR200,12,27,30,0,,1209,1209,,,0,,,,,,36,147,326,362,,,,1209,,17,
100724,2018,gr200_18_rv.csv,GR200,7,22,26,0,,1090,1090,,,0,,,,,,51,79,236,287,,,,1090,,23,
100724,2019,gr200_19_rv.csv,GR200,11,28,31,0,,1098,1098,,,0,,,,,,37,124,304,341,,,,1098,,12,
100724,2020,gr200_20_rv.csv,GR200,10,30,33,1,,1436,1435,,,0,,,,,,45,140,431,476,,,,1436,,17,
100724,2021,gr200_21_rv.csv,GR200,16,33,34,0,,1517,1517,,,0,,,,,,14,250,497,511,,,,1517,,26,
100724,2022,gr200_22_rv.csv,GR200,15,32,35,0,,1067,1067,,,0,,,,,,31,156,339,370,,,,1067,,5,
100724,2023,gr200_23.csv,GR200,10,28,30,0,,1006,1006,,,0,,,,,,13,102,286,299,,,,1006,,9,
100751,2008,gr200_08_rv.csv,GR200,36,63,66,0,,2886,2886,,,47,,,,,,78,1038,1821,1899,,,,2933,,,
100751,2009,gr200_09_rv.csv,GR200,39,65,68,6,,2384,2378,,,20,,,,,,63,920,1552,1615,,,,2404,,,
100751,2010,gr200_10_rv.csv,GR200,36,64,68,11,,2585,2574,,,48,,,,,,79,932,1666,1745,,,,2633,,,
100751,2011,gr200_11_rv.csv,GR200,38,66,69,2,,2982,2980,,,70,,,,,,92,1121,1966,2058,,,,3052,,33,
100751,2012,gr200_12_rv.csv,GR200,38,67,70,2,,3290,3288,,,55,,,,,,83,1248,2213,2296,,,,3345,,39,
100751,2013,gr200_13_rv.csv,GR200,38,66,68,0,,3642,3642,,,61,,,,,,94,1373,2396,2490,,,,3703,,33,
100751,2014,gr200_14_rv.csv,GR200,41,67,69,0,,4275,4275,,,84,,,,,,94,1757,2845,2939,,,,4359,,41,
100751,2015,gr200_15_rv.csv,GR200,43,67,69,0,,4438,4438,,,55,,,,,,100,1897,2958,3058,,,,4493,,30,
100751,2016,gr200_16_rv.csv,GR200,39,66,68,0,,5009,5009,,,25,,,,,,108,1942,3289,3397,,,,5034,,30,
100751,2017,gr200_17_rv.csv,GR200,41,67,69,0,,5062,5062,,,34,,,,,,100,2093,3396,3496,,,,5096,,47,
100751,2018,gr200_18_rv.csv,GR200,44,69,71,0,,5443,5443,,,46,,,,,,110,2387,3740,3850,,,,5489,,34,
